
Studienname:Statisch 1(-Standard-)
Darstellungsart: Statisch knotenspannung Spannung1
11:24, Mittwoch, Juni 21, 2017


X-Titel: Parametrischer Abstand
Y-Titel: von Mises (N/m^2)

Punkt, X, Y1 (von Mises (N/m^2))
1, 0           ,1.2486E+006 ,
2, 0.017857    ,1.2474E+006 ,
3, 0.035714    ,1.2444E+006 ,
4, 0.053571    ,1.2458E+006 ,
5, 0.071429    ,1.2545E+006 ,
6, 0.089286    ,1.2808E+006 ,
7, 0.10714     ,1.3353E+006 ,
8, 0.125       ,1.4695E+006 ,
9, 0.14286     ,1.7005E+006 ,
10, 0.16071     ,2.3453E+006 ,
11, 0.17857     ,3.7536E+006 ,
12, 0.19643     ,5.6303E+006 ,
13, 0.21429     ,9.9353E+006 ,
14, 0.23214     ,3.1902E+007 ,
15, 0.25        ,8.8725E+007 ,
16, 0.26786     ,1.2028E+008 ,
17, 0.28571     ,1.1885E+008 ,
18, 0.30357     ,1.0015E+008 ,
19, 0.32143     ,7.6236E+007 ,
20, 0.33929     ,4.7484E+007 ,
21, 0.35714     ,1.7819E+007 ,
22, 0.375       ,2.1426E+007 ,
23, 0.39286     ,5.227E+007  ,
24, 0.41071     ,9.6981E+007 ,
25, 0.42857     ,1.3299E+008 ,
26, 0.44643     ,1.4548E+008 ,
27, 0.46429     ,1.2825E+008 ,
28, 0.48214     ,3.3749E+007 ,
29, 0.5         ,1.4543E+007 ,
30, 0.51786     ,6.7159E+006 ,
31, 0.53571     ,3.849E+006  ,
32, 0.55357     ,2.7628E+006 ,
33, 0.57143     ,1.9022E+006 ,
34, 0.58929     ,1.5183E+006 ,
35, 0.60714     ,1.1712E+006 ,
36, 0.625       ,9.4239E+005 ,
37, 0.64286     ,7.1808E+005 ,
38, 0.66071     ,5.6823E+005 ,
39, 0.67857     ,4.279E+005  ,
40, 0.69643     ,3.3352E+005 ,
41, 0.71429     ,2.5215E+005 ,
42, 0.73214     ,2.0096E+005 ,
43, 0.75        ,1.585E+005  ,
44, 0.76786     ,1.2747E+005 ,
45, 0.78571     ,1.0273E+005 ,
46, 0.80357     ,83952       ,
47, 0.82143     ,67993       ,
48, 0.83929     ,55882       ,
49, 0.85714     ,44533       ,
50, 0.875       ,33802       ,
51, 0.89286     ,24564       ,
52, 0.91071     ,16623       ,
53, 0.92857     ,10725       ,
54, 0.94643     ,5732.6      ,
55, 0.96429     ,4392.3      ,
56, 0.98214     ,4989.8      ,
57, 1           ,5916.9      ,
