
Studienname:Statisch 1(-Default-)
Darstellungsart: Statisch knotenspannung Spannung1
11:22, Mittwoch, Juni 21, 2017


X-Titel: Parametrischer Abstand
Y-Titel: von Mises (N/m^2)

Punkt, X, Y1 (von Mises (N/m^2))
1, 0           ,1.9957E+008 ,
2, 0.015625    ,1.9917E+008 ,
3, 0.03125     ,1.9789E+008 ,
4, 0.039062    ,1.9708E+008 ,
5, 0.046875    ,1.9674E+008 ,
6, 0.054687    ,1.9479E+008 ,
7, 0.0625      ,1.9181E+008 ,
8, 0.078125    ,1.8873E+008 ,
9, 0.09375     ,1.8394E+008 ,
10, 0.10156     ,1.8196E+008 ,
11, 0.10937     ,1.8175E+008 ,
12, 0.11719     ,1.7711E+008 ,
13, 0.125       ,1.7225E+008 ,
14, 0.14062     ,1.6548E+008 ,
15, 0.15625     ,1.5792E+008 ,
16, 0.17188     ,1.4864E+008 ,
17, 0.1875      ,1.3851E+008 ,
18, 0.20312     ,1.2657E+008 ,
19, 0.21875     ,1.1536E+008 ,
20, 0.23437     ,1.0304E+008 ,
21, 0.25        ,8.9315E+007 ,
22, 0.26563     ,7.3774E+007 ,
23, 0.28125     ,6.2894E+007 ,
24, 0.28906     ,5.4801E+007 ,
25, 0.29687     ,5.0683E+007 ,
26, 0.30469     ,5.0533E+007 ,
27, 0.3125      ,5.1717E+007 ,
28, 0.32813     ,6.0367E+007 ,
29, 0.34375     ,7.6576E+007 ,
30, 0.35937     ,1.0904E+008 ,
31, 0.375       ,1.403E+008  ,
32, 0.39062     ,1.7765E+008 ,
33, 0.40625     ,2.2456E+008 ,
34, 0.42188     ,2.5771E+008 ,
35, 0.4375      ,2.9168E+008 ,
36, 0.44531     ,2.9917E+008 ,
37, 0.45313     ,3.1887E+008 ,
38, 0.46094     ,2.6062E+008 ,
39, 0.46875     ,1.4761E+008 ,
40, 0.48437     ,4.0455E+007 ,
41, 0.5         ,1.668E+007  ,
42, 0.51562     ,7.5218E+006 ,
43, 0.53125     ,4.8268E+006 ,
44, 0.54688     ,3.4791E+006 ,
45, 0.5625      ,2.6039E+006 ,
46, 0.57813     ,2.0605E+006 ,
47, 0.59375     ,1.591E+006  ,
48, 0.60938     ,1.2273E+006 ,
49, 0.625       ,9.6305E+005 ,
50, 0.64062     ,7.4236E+005 ,
51, 0.65625     ,5.7317E+005 ,
52, 0.67188     ,4.4156E+005 ,
53, 0.6875      ,3.3827E+005 ,
54, 0.70312     ,2.5481E+005 ,
55, 0.71875     ,1.9529E+005 ,
56, 0.73438     ,1.4686E+005 ,
57, 0.75        ,1.1731E+005 ,
58, 0.76563     ,95566       ,
59, 0.78125     ,76657       ,
60, 0.79687     ,61150       ,
61, 0.8125      ,50590       ,
62, 0.82813     ,40768       ,
63, 0.84375     ,33997       ,
64, 0.85937     ,27496       ,
65, 0.875       ,21716       ,
66, 0.89062     ,16388       ,
67, 0.90625     ,11739       ,
68, 0.92188     ,7919.4      ,
69, 0.9375      ,5057.2      ,
70, 0.95312     ,3593.3      ,
71, 0.96875     ,3543.7      ,
72, 0.98438     ,3540.5      ,
73, 1           ,4106.1      ,
