%Fall 1		Fall 2		Fall 3	
%Wert (N/m^2)  	X (micron)  	Wert (N/m^2)  	Z (micron)	Wert (N/m^2)  	Z (micron)
sigma1	X1	sigma2	X2	sigma3	X3
1.04E+04	3250		5.00E+03	3250	5.19E+03	3250
9.59E+03	3199.21875	4.69E+03	3199.21875	4.88E+03	3199.21875
9.57E+03	3148.4375	4.51E+03	3148.4375	4.56E+03	3148.4375
8.46E+03	3097.65625	4.21E+03	3097.65625	4.80E+03	3097.65625
1.44E+04	3046.875	6.25E+03	3046.875	6.95E+03	3046.875
2.55E+04	2996.09375	1.07E+04	2996.09375	1.14E+04	2996.09375
4.12E+04	2945.3125	1.66E+04	2945.3125	1.87E+04	2945.3125
6.19E+04	2894.53125	2.31E+04	2894.53125	2.58E+04	2894.53125
8.68E+04	2843.75		3.08E+04	2843.75	3.31E+04	2843.75
1.17E+05	2792.96875	3.88E+04	2792.96875	4.13E+04	2792.96875
1.59E+05	2742.1875	4.87E+04	2742.1875	5.15E+04	2742.1875
2.07E+05	2691.40625	5.83E+04	2691.40625	6.21E+04	2691.40625
2.64E+05	2640.625	6.84E+04	2640.625	7.37E+04	2640.625
3.54E+05	2589.84375	8.09E+04	2589.84375	8.70E+04	2589.84375
4.59E+05	2539.0625	9.55E+04	2539.0625	1.06E+05	2539.0625
5.69E+05	2488.28125	1.20E+05	2488.28125	1.29E+05	2488.28125
7.45E+05	2437.5		1.46E+05	2437.5	1.55E+05	2437.5
9.49E+05	2386.71875	1.80E+05	2386.71875	1.89E+05	2386.71875
1.21E+06	2335.9375	2.32E+05	2335.9375	2.35E+05	2335.9375
1.52E+06	2285.15625	2.87E+05	2285.15625	2.87E+05	2285.15625
1.89E+06	2234.375	3.59E+05	2234.375	3.63E+05	2234.375
2.38E+06	2183.59375	4.60E+05	2183.59375	4.62E+05	2183.59375
2.90E+06	2132.8125	5.91E+05	2132.8125	5.75E+05	2132.8125
3.91E+06	2082.03125	7.49E+05	2082.03125	7.08E+05	2082.03125
5.68E+06	2031.24987793	9.33E+05	2031.24987793	8.90E+05	2031.24987793
9.05E+06	1980.46887207	1.16E+06	1980.46887207	1.10E+06	1980.46887207
1.52E+07	1929.6875	1.48E+06	1929.6875	1.36E+06	1929.6875
3.80E+07	1878.90625	1.83E+06	1878.90625	1.66E+06	1878.90625
1.44E+08	1828.125	2.30E+06	1828.125	2.01E+06	1828.125
2.35E+08	1777.34375	3.00E+06	1777.34375	2.55E+06	1777.34375
2.74E+08	1726.5625	3.95E+06	1726.5625	3.12E+06	1726.5625
2.76E+08	1701.171875	6.32E+06	1675.78125	5.33E+06	1675.78125
2.52E+08	1675.78125	9.08E+06	1625	7.79E+06	1625
2.23E+08	1650.390625	2.83E+07	1574.21875	2.23E+07	1574.21875
2.10E+08	1625		1.33E+08	1523.4375	8.85E+07	1523.4375
1.86E+08	1599.609375	1.78E+08	1472.65625	1.28E+08	1472.65625
1.74E+08	1574.21875	1.77E+08	1421.875	1.27E+08	1421.875
1.50E+08	1548.828125	1.43E+08	1371.09375	1.07E+08	1396.484375
1.25E+08	1523.4375	1.08E+08	1320.3125	9.75E+07	1371.09375
1.04E+08	1498.046875	6.91E+07	1269.53125	7.41E+07	1345.703125
7.18E+07	1472.65625	3.81E+07	1218.75	5.55E+07	1320.3125
6.43E+07	1447.265625	1.25E+07	1167.96875	4.09E+07	1294.921875
4.62E+07	1421.875	1.92E+07	1117.1875	1.67E+07	1269.53125
2.68E+07	1396.484375	4.37E+07	1066.40625	8.00E+06	1244.140625
2.08E+07	1371.09375	6.59E+07	1015.62493896	4.53E+06	1218.75
1.54E+07	1345.703125	8.90E+07	964.84375	2.94E+07	1167.96875
3.81E+07	1320.3125	1.06E+08	914.0625	4.77E+07	1117.1875
5.66E+07	1269.53125	1.20E+08	863.28125	6.45E+07	1091.796875
8.20E+07	1218.75		1.33E+08	812.5	7.40E+07	1066.40625
1.00E+08	1193.359375	1.40E+08	761.71875	9.19E+07	1041.015625
1.22E+08	1167.96875	1.32E+08	710.9375	1.02E+08	1015.62493896
1.27E+08	1142.578125	5.17E+07	660.15625	1.09E+08	990.23443604
1.36E+08	1117.1875	8.69E+06	609.375	1.16E+08	964.84375
1.46E+08	1091.796875	6.35E+06	558.59375	1.15E+08	939.453125
1.50E+08	1066.40625	3.03E+06	507.81246948	1.09E+08	914.0625
1.66E+08	1041.015625	2.39E+06	457.03125	5.05E+07	863.28125
1.77E+08	1015.62493896	1.87E+06	406.25	9.33E+06	812.5
1.89E+08	964.84375	1.55E+06	355.46875	6.35E+06	761.71875
1.99E+08	914.0625	1.38E+06	304.6875	3.19E+06	710.9375
2.03E+08	888.671875	1.26E+06	253.90623474	2.33E+06	660.15625
2.01E+08	863.28125	1.21E+06	203.125	1.85E+06	609.375
1.99E+08	837.890625	1.18E+06	152.34375	1.55E+06	558.59375
1.82E+08	812.5	1.16E+06	101.5625	1.40E+06	507.81246948
8.13E+07	761.71875	1.16E+06	50.78125	1.33E+06	457.03125
1.17E+07	710.9375	1.16E+06	0	1.28E+06	406.25
8.45E+06	660.15625	nan	nan	1.26E+06	355.46875
4.38E+06	609.375	nan	nan	1.26E+06	304.6875
3.25E+06	558.59375	nan	nan	1.26E+06	253.90623474
2.34E+06	507.81246948	nan	nan	1.27E+06	203.125
2.07E+06	457.03125	nan	nan	1.28E+06	152.34375
1.85E+06	406.25	nan	nan	1.28E+06	101.5625
1.73E+06	355.46875	nan	nan	1.29E+06	50.78125
1.67E+06	304.6875	nan	nan	1.29E+06	0
1.62E+06	253.90623474	nan	nan	nan	nan
1.60E+06	203.125	nan	nan	nan	nan
1.59E+06	152.34375	nan	nan	nan	nan
1.59E+06	101.5625	nan	nan	nan	nan
1.60E+06	50.78125	nan	nan	nan	nan
1.60E+06	0	nan	nan	nan	nan
