Wert      	X
9.85E+05	0
9.83E+05	50.78125
9.81E+05	101.5625
9.82E+05	152.34375
9.83E+05	203.125
9.88E+05	253.9062347
1.00E+06	304.6875
1.04E+06	355.46875
1.10E+06	406.25
1.22E+06	457.03125
1.48E+06	507.8124695
1.93E+06	558.59375
2.61E+06	609.375
4.90E+06	660.15625
5.10E+06	710.9375
3.16E+07	761.71875
6.06E+07	812.5
6.59E+07	863.28125
6.37E+07	914.0625
5.05E+07	964.84375
3.68E+07	1015.624939
1.33E+07	1066.40625
2.32E+07	1117.1875
4.64E+07	1167.96875
7.83E+07	1218.75
7.91E+07	1269.53125
3.28E+07	1320.3125
1.25E+07	1371.09375
6.77E+06	1421.875
4.42E+06	1472.65625
2.82E+06	1523.4375
2.15E+06	1574.21875
1.61E+06	1625
1.32E+06	1675.78125
1.09E+06	1726.5625
8.92E+05	1777.34375
7.44E+05	1828.125
6.17E+05	1878.90625
4.78E+05	1929.6875
3.87E+05	1980.468872
3.07E+05	2031.249878
2.55E+05	2082.03125
2.14E+05	2132.8125
1.65E+05	2183.59375
1.36E+05	2234.375
1.14E+05	2285.15625
9.49E+04	2335.9375
8.04E+04	2386.71875
7.06E+04	2437.5
6.11E+04	2488.28125
5.17E+04	2539.0625
4.41E+04	2589.84375
3.86E+04	2640.625
3.24E+04	2691.40625
2.73E+04	2742.1875
2.38E+04	2792.96875
1.90E+04	2843.75
1.45E+04	2894.53125
1.08E+04	2945.3125
7.51E+03	2996.09375
4.56E+03	3046.875
2.97E+03	3097.65625
2.44E+03	3148.4375
2.67E+03	3199.21875
3.09E+03	3250
