Wert      	Y 
7.39E+03	3250
7.17E+03	3199.21875
7.75E+03	3148.4375
7.01E+03	3097.65625
1.03E+04	3046.875
1.91E+04	2996.09375
3.11E+04	2945.3125
4.36E+04	2894.53125
6.00E+04	2843.75
7.86E+04	2792.96875
1.01E+05	2742.1875
1.29E+05	2691.40625
1.60E+05	2640.625
2.03E+05	2589.84375
2.64E+05	2539.0625
3.30E+05	2488.28125
4.33E+05	2437.5
5.43E+05	2386.71875
6.83E+05	2335.9375
8.73E+05	2285.15625
1.10E+06	2234.375
1.39E+06	2183.59375
1.73E+06	2132.8125
2.17E+06	2082.03125
2.76E+06	2031.249878
3.68E+06	1980.468872
5.03E+06	1929.6875
8.55E+06	1878.90625
1.15E+07	1828.125
2.19E+07	1777.34375
6.32E+07	1726.5625
2.06E+08	1675.78125
2.35E+08	1625
1.75E+08	1574.21875
1.45E+08	1523.4375
1.07E+08	1472.65625
6.61E+07	1421.875
4.32E+07	1371.09375
1.58E+07	1320.3125
2.64E+07	1269.53125
5.09E+07	1218.75
7.11E+07	1167.96875
1.00E+08	1117.1875
1.18E+08	1066.40625
1.43E+08	1015.624939
1.56E+08	964.84375
1.64E+08	914.0625
1.73E+08	863.28125
1.66E+08	812.5
4.87E+07	761.71875
8.19E+06	710.9375
7.78E+06	660.15625
4.46E+06	609.375
3.14E+06	558.59375
2.34E+06	507.8124695
1.93E+06	457.03125
1.71E+06	406.25
1.59E+06	355.46875
1.53E+06	304.6875
1.49E+06	253.9062347
1.48E+06	203.125
1.48E+06	152.34375
1.48E+06	101.5625
1.48E+06	50.78125
1.48E+06	0
