%W-Brücke	Druck [bar]	Spannung Ausgang [mV]	Spannung Eingang [V]		p0=0.067														
%Sensor 13																			
%1 (unten rechts)					2 (oben rechts)					3 (unten links)					4 (oben links)				
p1	V1	Vin1	reg1	diff1	p2	V2	Vin2	reg2	diff2	p3	V3	Vin3	reg3	diff3	p4	V4	Vin4	reg4	diff4
0	1.85	nan	nan	nan	0	-10	nan	nan	nan	0	nan	nan	nan	nan	0	1.02	nan	nan	nan
0.067	2.42	1	3.38926	0.96926	0.081	-9.8	nan	-8.53386	1.26614	0.08	nan	nan	nan	nan	0.085	3.76	nan	5.2112	1.4512
0.1	3.5	nan	4.702	1.202	0.1	-8.9	nan	-7.756	1.144	0.1	2	nan	0.7836	-1.2164	0.1	4.66	nan	5.858	1.198
0.2	8.4	nan	8.68	0.279999999999999	0.2	-3.8	nan	-3.662	0.138000000000001	0.2	2.5	nan	4.2079	1.7079	0.2	9.97	nan	10.17	0.199999999999999
0.3	13.2	nan	12.658	-0.541999999999996	0.3	1	nan	0.432000000000002	-0.567999999999998	0.3	6.94	nan	7.6322	0.6922	0.3	15.15	nan	14.482	-0.667999999999999
0.4	17.6	nan	16.636	-0.964000000000002	0.4	5.58	nan	4.526	-1.054	0.4	11.08	nan	11.0565	-0.0235	0.4	19.97	nan	18.794	-1.176
0.5	21.8	nan	20.614	-1.186	0.5	9.84	nan	8.62	-1.22	0.5	14.91	nan	14.4808	-0.4292	0.5	24.44	nan	23.106	-1.334
0.6	25.7	nan	24.592	-1.10799999999999	0.6	13.84	nan	12.714	-1.126	0.6	18.61	nan	17.9051	-0.7049	0.6	28.66	nan	27.418	-1.242
0.7	29.4	nan	28.57	-0.829999999999995	0.7	17.64	nan	16.808	-0.832000000000001	0.7	21.97	nan	21.3294	-0.6406	0.7	32.64	nan	31.73	-0.91
0.8	32.7	nan	32.548	-0.152000000000001	0.8	21.06	nan	20.902	-0.157999999999998	0.8	25.1	nan	24.7537	-0.3463	0.8	36.2	nan	36.042	-0.158000000000001
0.9	35.9	nan	36.526	0.625999999999998	0.9	24.32	nan	24.996	0.675999999999995	0.9	28.02	nan	28.178	-0.158	0.9	39.64	nan	40.354	0.713999999999999
1	38.8	nan	40.504	1.704	1	27.37	nan	29.09	1.72	1	30.8	nan	31.6023	0.8023	1	42.75	nan	44.666	1.916
