%Fall 1		Fall 2		Fall 3	
%Wert (mm)  	X (mm)  	Wert (mm)  	Z (mm)	Wert (mm)  	Z (mm)
sigma1	X1	sigma2	X2	sigma3	X3
6.94E-07	3.25	2.72E-07	3.25	2.86E-07	3.25
6.81E-07	3.19921875	2.66E-07	3.19921875	2.81E-07	3.19921875
6.71E-07	3.1484375	2.63E-07	3.1484375	2.77E-07	3.1484375
6.64E-07	3.09765625	2.60E-07	3.09765625	2.75E-07	3.09765625
6.63E-07	3.046875	2.61E-07	3.046875	2.75E-07	3.046875
6.69E-07	2.99609375	2.64E-07	2.99609375	2.78E-07	2.99609375
6.83E-07	2.9453125	2.70E-07	2.9453125	2.84E-07	2.9453125
7.06E-07	2.89453125	2.79E-07	2.89453125	2.94E-07	2.89453125
7.40E-07	2.84375	2.91E-07	2.84375	3.08E-07	2.84375
7.86E-07	2.79296875	3.07E-07	2.79296875	3.25E-07	2.79296875
8.49E-07	2.7421875	3.27E-07	2.7421875	3.46E-07	2.7421875
9.34E-07	2.69140625	3.51E-07	2.69140625	3.72E-07	2.69140625
1.04E-06	2.640625	3.81E-07	2.640625	4.03E-07	2.640625
1.19E-06	2.58984375	4.15E-07	2.58984375	4.40E-07	2.58984375
1.38E-06	2.5390625	4.55E-07	2.5390625	4.83E-07	2.5390625
1.61E-06	2.48828125	5.06E-07	2.48828125	5.38E-07	2.48828125
1.90E-06	2.4375	5.68E-07	2.4375	6.03E-07	2.4375
2.28E-06	2.38671875	6.43E-07	2.38671875	6.82E-07	2.38671875
2.76E-06	2.3359375	7.40E-07	2.3359375	7.79E-07	2.3359375
3.39E-06	2.28515625	8.61E-07	2.28515625	9.00E-07	2.28515625
4.18E-06	2.234375	1.01E-06	2.234375	1.05E-06	2.234375
5.25E-06	2.18359375	1.20E-06	2.18359375	1.24E-06	2.18359375
6.60E-06	2.1328125	1.43E-06	2.1328125	1.47E-06	2.1328125
8.50E-06	2.08203125	1.74E-06	2.08203125	1.77E-06	2.08203125
1.11E-05	2.03125	2.11E-06	2.03125	2.13E-06	2.03125
1.54E-05	1.98046887	2.60E-06	1.98046887	2.60E-06	1.98046887
2.18E-05	1.9296875	3.21E-06	1.9296875	3.18E-06	1.9296875
3.59E-05	1.87890625	4.04E-06	1.87890625	3.96E-06	1.87890625
6.95E-05	1.828125	5.10E-06	1.828125	4.93E-06	1.828125
2.85E-04	1.77734375	6.52E-06	1.77734375	6.27E-06	1.77734375
9.35E-04	1.7265625	8.51E-06	1.7265625	7.98E-06	1.7265625
1.45E-03	1.70117188	1.18E-05	1.67578125	1.09E-05	1.67578125
2.10E-03	1.67578125	1.65E-05	1.625	1.48E-05	1.625
2.87E-03	1.65039063	2.67E-05	1.57421875	2.33E-05	1.57421875
3.74E-03	1.625	5.09E-05	1.5234375	4.27E-05	1.5234375
4.71E-03	1.59960938	2.26E-04	1.47265625	1.74E-04	1.47265625
5.78E-03	1.57421875	7.36E-04	1.421875	5.51E-04	1.421875
6.92E-03	1.54882813	1.58E-03	1.37109375	8.30E-04	1.39648438
8.14E-03	1.5234375	2.71E-03	1.3203125	1.16E-03	1.37109375
9.42E-03	1.49804688	4.04E-03	1.26953125	1.53E-03	1.34570313
1.08E-02	1.47265625	5.51E-03	1.21875	1.94E-03	1.3203125
1.21E-02	1.44726563	7.06E-03	1.16796875	2.38E-03	1.29492188
1.35E-02	1.421875	8.63E-03	1.1171875	2.84E-03	1.26953125
1.49E-02	1.39648438	1.02E-02	1.06640625	3.30E-03	1.24414063
1.64E-02	1.37109375	1.16E-02	1.015625	3.77E-03	1.21875
1.78E-02	1.34570313	1.30E-02	0.96484375	4.71E-03	1.16796875
1.92E-02	1.3203125	1.42E-02	0.9140625	5.58E-03	1.1171875
2.21E-02	1.26953125	1.52E-02	0.86328125	5.99E-03	1.09179688
2.48E-02	1.21875	1.59E-02	0.8125	6.36E-03	1.06640625
2.61E-02	1.19335938	1.64E-02	0.76171875	6.69E-03	1.04101563
2.74E-02	1.16796875	1.67E-02	0.7109375	6.99E-03	1.015625
2.86E-02	1.14257813	1.67E-02	0.66015625	7.23E-03	0.99023443
2.97E-02	1.1171875	1.67E-02	0.609375	7.42E-03	0.96484375
3.08E-02	1.09179688	1.67E-02	0.55859375	7.56E-03	0.93945313
3.18E-02	1.06640625	1.67E-02	0.5078125	7.65E-03	0.9140625
3.27E-02	1.04101563	1.67E-02	0.45703125	7.70E-03	0.86328125
3.36E-02	1.015625	1.67E-02	0.40625	7.71E-03	0.8125
3.51E-02	0.96484375	1.67E-02	0.35546875	7.71E-03	0.76171875
3.62E-02	0.9140625	1.67E-02	0.3046875	7.71E-03	0.7109375
3.66E-02	0.88867188	1.67E-02	0.25390625	7.71E-03	0.66015625
3.70E-02	0.86328125	1.67E-02	0.203125	7.72E-03	0.609375
3.72E-02	0.83789063	1.67E-02	0.15234375	7.72E-03	0.55859375
3.73E-02	0.8125	1.67E-02	0.1015625	7.72E-03	0.5078125
3.74E-02	0.76171875	1.67E-02	0.05078125	7.72E-03	0.45703125
