%Membran mit Boss statisch 1bar x-Richtung
%Wert (N/m^2)  	X (micron)  
sigma	X
1.04E+04	3250
9.59E+03	3199.21875
9.57E+03	3148.4375
8.46E+03	3097.65625
1.44E+04	3046.875
2.55E+04	2996.09375
4.12E+04	2945.3125
6.19E+04	2894.53125
8.68E+04	2843.75
1.17E+05	2792.96875
1.59E+05	2742.1875
2.07E+05	2691.40625
2.64E+05	2640.625
3.54E+05	2589.84375
4.59E+05	2539.0625
5.69E+05	2488.28125
7.45E+05	2437.5
9.49E+05	2386.71875
1.21E+06	2335.9375
1.52E+06	2285.15625
1.89E+06	2234.375
2.38E+06	2183.59375
2.90E+06	2132.8125
3.91E+06	2082.03125
5.68E+06	2031.249878
9.05E+06	1980.468872
1.52E+07	1929.6875
3.80E+07	1878.90625
1.44E+08	1828.125
2.35E+08	1777.34375
2.74E+08	1726.5625
2.76E+08	1701.171875
2.52E+08	1675.78125
2.23E+08	1650.390625
2.10E+08	1625
1.86E+08	1599.609375
1.74E+08	1574.21875
1.50E+08	1548.828125
1.25E+08	1523.4375
1.04E+08	1498.046875
7.18E+07	1472.65625
6.43E+07	1447.265625
4.62E+07	1421.875
2.68E+07	1396.484375
2.08E+07	1371.09375
1.54E+07	1345.703125
3.81E+07	1320.3125
5.66E+07	1269.53125
8.20E+07	1218.75
1.00E+08	1193.359375
1.22E+08	1167.96875
1.27E+08	1142.578125
1.36E+08	1117.1875
1.46E+08	1091.796875
1.50E+08	1066.40625
1.66E+08	1041.015625
1.77E+08	1015.624939
1.89E+08	964.84375
1.99E+08	914.0625
2.03E+08	888.671875
2.01E+08	863.28125
1.99E+08	837.890625
1.82E+08	812.5
8.13E+07	761.71875
1.17E+07	710.9375
8.45E+06	660.15625
4.38E+06	609.375
3.25E+06	558.59375
2.34E+06	507.8124695
2.07E+06	457.03125
1.85E+06	406.25
1.73E+06	355.46875
1.67E+06	304.6875
1.62E+06	253.9062347
1.60E+06	203.125
1.59E+06	152.34375
1.59E+06	101.5625
1.60E+06	50.78125
1.60E+06	0
