%Membran mit Boss statisch 1bar x-Richtung

%Wert (N/m^2)  	Z (micron)
sigma	z
5.00E+03	3250
4.69E+03	3199.21875
4.51E+03	3148.4375
4.21E+03	3097.65625
6.25E+03	3046.875
1.07E+04	2996.09375
1.66E+04	2945.3125
2.31E+04	2894.53125
3.08E+04	2843.75
3.88E+04	2792.96875
4.87E+04	2742.1875
5.83E+04	2691.40625
6.84E+04	2640.625
8.09E+04	2589.84375
9.55E+04	2539.0625
1.20E+05	2488.28125
1.46E+05	2437.5
1.80E+05	2386.71875
2.32E+05	2335.9375
2.87E+05	2285.15625
3.59E+05	2234.375
4.60E+05	2183.59375
5.91E+05	2132.8125
7.49E+05	2082.03125
9.33E+05	2031.249878
1.16E+06	1980.468872
1.48E+06	1929.6875
1.83E+06	1878.90625
2.30E+06	1828.125
3.00E+06	1777.34375
3.95E+06	1726.5625
6.32E+06	1675.78125
9.08E+06	1625
2.83E+07	1574.21875
1.33E+08	1523.4375
1.78E+08	1472.65625
1.77E+08	1421.875
1.43E+08	1371.09375
1.08E+08	1320.3125
6.91E+07	1269.53125
3.81E+07	1218.75
1.25E+07	1167.96875
1.92E+07	1117.1875
4.37E+07	1066.40625
6.59E+07	1015.624939
8.90E+07	964.84375
1.06E+08	914.0625
1.20E+08	863.28125
1.33E+08	812.5
1.40E+08	761.71875
1.32E+08	710.9375
5.17E+07	660.15625
8.69E+06	609.375
6.35E+06	558.59375
3.03E+06	507.8124695
2.39E+06	457.03125
1.87E+06	406.25
1.55E+06	355.46875
1.38E+06	304.6875
1.26E+06	253.9062347
1.21E+06	203.125
1.18E+06	152.34375
1.16E+06	101.5625
1.16E+06	50.78125
1.16E+06	0

