%Membran ohne Boss statisch 1bar
%Wert (N/m^2)  	X (micron)  
sigma	X
4.14E+03	3250
3.69E+03	3199.21875
3.92E+03	3148.4375
4.04E+03	3097.65625
5.25E+03	3046.875
8.63E+03	2996.09375
1.30E+04	2945.3125
1.86E+04	2894.53125
2.44E+04	2843.75
3.05E+04	2792.96875
3.76E+04	2742.1875
4.39E+04	2691.40625
5.15E+04	2640.625
6.23E+04	2589.84375
8.07E+04	2539.0625
9.94E+04	2488.28125
1.25E+05	2437.5
1.61E+05	2386.71875
2.10E+05	2335.9375
2.62E+05	2285.15625
3.32E+05	2234.375
4.47E+05	2183.59375
5.67E+05	2132.8125
7.44E+05	2082.03125
9.55E+05	2031.249878
1.22E+06	1980.468872
1.51E+06	1929.6875
2.02E+06	1878.90625
2.67E+06	1828.125
3.75E+06	1777.34375
5.73E+06	1726.5625
9.66E+06	1675.78125
1.47E+07	1625
3.33E+07	1574.21875
1.06E+08	1523.4375
2.75E+08	1472.65625
2.90E+08	1421.875
2.52E+08	1371.09375
2.26E+08	1320.3125
1.77E+08	1269.53125
1.39E+08	1218.75
1.02E+08	1167.96875
7.81E+07	1117.1875
5.91E+07	1066.40625
5.13E+07	1015.624939
5.77E+07	964.84375
7.72E+07	914.0625
8.75E+07	863.28125
8.11E+07	812.5
1.06E+08	761.71875
1.26E+08	710.9375
1.33E+08	660.15625
1.33E+08	609.375
1.39E+08	558.59375
1.43E+08	507.8124695
1.55E+08	457.03125
1.67E+08	406.25
1.79E+08	355.46875
1.85E+08	304.6875
1.86E+08	253.9062347
1.89E+08	203.125
1.95E+08	152.34375
1.96E+08	101.5625
1.97E+08	50.78125
1.97E+08	0
