%Sensor 11																			
%1 (unten rechts)					2 (oben rechts)					3 (unten links)					4 (oben links)				
p1	V1	Vin1	reg1	diff1	p2	V2	Vin2	reg2	diff2	p3	V3	Vin3	reg3	diff3	p4	V4	Vin4	reg4	diff4
0	0.8	nan	0.153360475205232	1.00696435960756	0	2.1	nan	-0.013473047231307	2.00114520901466	0	19.15	nan	0.082137533649248	19.0330183096398	0	27	nan	nan	nan
0.085	1.02	nan	1.02	0	0.085	2	nan	2	0	0.085	19.04	nan	19.04	0	0.083	26.3	nan	26.739059	0.439058999999997
0.1	1.04	nan	1.02230040712808	-0.017699592871922	0.1	1.99	nan	1.99979790429153	0.00979790429153	0.1	19.04	nan	19.0412320630047	0.001232063004739	0.1	26.86	nan	26.7573	-0.102700000000002
0.2	1.03	nan	1.0376364546486	0.007636454648602	0.2	2	nan	1.9984505995684	-0.001549400431601	0.2	19.03	nan	19.0494458163697	0.019445816369665	0.2	26.95	nan	26.8646	-0.0854
0.3	1.05	nan	1.05297250216913	0.002972502169125	0.3	1.98	nan	1.99710329484527	0.017103294845269	0.3	19.07	nan	19.0576595697346	-0.012340430265411	0.3	27.1	nan	26.9719	-0.128100000000003
0.4	1.07	nan	1.06830854968965	-0.001691450310352	0.4	1.97	nan	1.99575599012214	0.025755990122138	0.4	19.07	nan	19.0658733230995	-0.004126676900487	0.4	27.2	nan	27.0792	-0.120799999999999
0.5	1.05	nan	1.08364459721017	0.033644597210172	0.5	1.98	nan	1.99440868539901	0.014408685399008	0.5	19.08	nan	19.0740870764644	-0.005912923535561	0.5	27.3	nan	27.1865	-0.113500000000002
0.6	1.1	nan	1.09898064473069	-0.001019355269305	0.6	1.98	nan	1.99306138067588	0.013061380675877	0.6	19.11	nan	19.0823008298294	-0.027699170170635	0.6	27.38	nan	27.2938	-0.086200000000002
0.7	1.1	nan	1.11431669225122	0.014316692251218	0.7	2	nan	1.99171407595275	-0.008285924047254	0.7	19.1	nan	19.0905145831943	-0.009485416805713	0.7	27.4	nan	27.4011	0.001100000000001
0.8	1.13	nan	1.12965273977174	-0.000347260228259	0.8	1.98	nan	1.99036677122962	0.010366771229616	0.8	19.09	nan	19.0987283365592	0.008728336559212	0.8	27.48	nan	27.5084	0.028399999999998
0.9	1.15	nan	1.14498878729226	-0.005011212707736	0.9	1.98	nan	1.98901946650649	0.009019466506485	0.9	19.1	nan	19.1069420899241	0.006942089924134	0.9	27.55	nan	27.6157	0.065699999999996
1	1.17	nan	1.16032483481279	-0.009675165187212	1	1.98	nan	1.98767216178335	0.007672161783354	1	19.11	nan	19.1151558432891	0.005155843289064	1	27.62	nan	27.723	0.102999999999998
